 Year,Make,Vehicle Class,Engine_Size_L,Cylinders,Transmission,Fuel_Type,FC_City ,FC_Hwy,FC_Comb,Comb_mpg,CO2_Emissions,CO2_Rating,Smog_Rating
2021,Bentley,SUVStandard,6,12,AS8,Z,19,13,16.3,17,383,1,3
2021,Bentley,Subcompact,4,8,AM8,Z,15,9,12.3,23,290,3,3
2021,Bentley,Subcompact,6,12,AM8,Z,19,11.6,15.7,18,364,2,3
2021,Bentley,Minicompact,4,8,AM8,Z,15,9,12.3,23,290,3,3
2021,Bentley,Minicompact,6,12,AM8,Z,19.2,12.2,16,18,373,2,3
2021,Bentley,Midsize,4,8,AM8,Z,15.5,11.6,13.7,21,323,3,3
2021,Bentley,Midsize,6,12,AM8,Z,19.2,12.2,16,18,373,2,3
2021,BMW,Compact,2,4,AS8,Z,10.2,7.2,8.8,32,206,6,7
2021,BMW,Subcompact,2,4,AS8,Z,11.2,7.7,9.6,29,225,5,7
2021,BMW,Subcompact,2,4,AS8,Z,11.2,7.7,9.6,29,225,5,7
2021,BMW,Compact,2,4,AS8,Z,9.5,6.9,8.3,34,195,6,7
2021,BMW,Subcompact,2,4,AS8,Z,10,7.1,8.7,32,202,6,7
2021,BMW,Midsize,2,4,AS8,Z,10.1,7.5,8.9,32,206,6,7
2021,BMW,Full-size,3,6,AS8,Z,10.3,7.6,9.1,31,211,5,5
2021,BMW,Full-size,4.4,8,AS8,Z,14,9.7,12,24,281,4,3
2021,BMW,Full-size,4.4,8,AS8,Z,14,9.7,12,24,281,4,3
2021,BMW,Full-size,4.4,8,AS8,Z,14,9.7,12,24,281,4,3
2021,BMW,SUVStandard,4.4,8,AS8,Z,15.7,11.5,13.8,20,321,3,3
2021,BMW,Subcompact,3,6,AM7,Z,14.3,10.4,12.6,22,293,3,3
2021,BMW,Subcompact,3,6,M6,Z,13.4,9.6,11.7,24,273,4,3
2021,BMW,Compact,2,4,AS8,Z,10.4,7.7,9.2,31,213,5,7
2021,BMW,Subcompact,3,6,AS8,Z,11.3,7.9,9.8,29,228,5,3
2021,BMW,Subcompact,3,6,AS8,Z,11.3,7.9,9.8,29,228,5,3
2021,BMW,Compact,3,6,AS8,Z,10.5,7.7,9.2,31,214,5,5
2021,BMW,Subcompact,3,6,AS8,Z,10.5,7.7,9.2,31,214,5,5
2021,BMW,Midsize,4.4,8,AS8,Z,16,11,13.8,20,323,3,3
2021,BMW,Midsize,4.4,8,AS8,Z,16,11,13.8,20,323,3,3
2021,BMW,Midsize,4.4,8,AS8,Z,13.5,9.5,11.7,24,272,4,3
2021,BMW,Full-size,6.6,12,AS8,Z,17.8,11.9,15.1,19,354,2,3
2021,BMW,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,323,3,3
2021,BMW,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,323,3,3
